fsa,horizon,magnitude_c,metric,symmetry_residual
M9W,20,2.5,peak_risk_delta,-0.03224915266036987
M9W,21,2.5,peak_risk_delta,0.020656168460845947
M9W,22,2.5,peak_risk_delta,1.959875226020813e-05
M9W,23,2.5,peak_risk_delta,-0.0011698799207806587
M9W,24,2.5,peak_risk_delta,0.00019086699467152357
L4T,1,5.0,forecast_delta_kwh,327.4408439316139
L4T,2,5.0,forecast_delta_kwh,244.34292129700862
L4T,3,5.0,forecast_delta_kwh,373.57386207741183
L4T,4,5.0,forecast_delta_kwh,294.5017538004968
L4T,5,5.0,forecast_delta_kwh,520.3134038678763
L4T,6,5.0,forecast_delta_kwh,236.7511149933489
L4T,7,5.0,forecast_delta_kwh,113.77842419447552
L4T,8,5.0,forecast_delta_kwh,94.26388753239007
L4T,9,5.0,forecast_delta_kwh,201.59192274344605
L4T,10,5.0,forecast_delta_kwh,3.7475588547749794
L4T,11,5.0,forecast_delta_kwh,166.4726698221766
L4T,12,5.0,forecast_delta_kwh,397.07036910870556
L4T,13,5.0,forecast_delta_kwh,344.6191499901124
L4T,14,5.0,forecast_delta_kwh,230.62038445186772
L4T,15,5.0,forecast_delta_kwh,306.87623377266937
L4T,16,5.0,forecast_delta_kwh,70.66384423989803
L4T,17,5.0,forecast_delta_kwh,95.51561443361243
L4T,18,5.0,forecast_delta_kwh,-1.059734397849752
L4T,19,5.0,forecast_delta_kwh,167.80831180385758
L4T,20,5.0,forecast_delta_kwh,56.85743908389668
L4T,21,5.0,forecast_delta_kwh,115.97262724590655
L4T,22,5.0,forecast_delta_kwh,-1.8580196165148664
L4T,23,5.0,forecast_delta_kwh,31.829882637586707
L4T,24,5.0,forecast_delta_kwh,27.648749493135256
M5R,1,5.0,forecast_delta_kwh,340.05491210350374
M5R,2,5.0,forecast_delta_kwh,548.6066287158446
M5R,3,5.0,forecast_delta_kwh,403.9184881745059
M5R,4,5.0,forecast_delta_kwh,410.1950959110836
M5R,5,5.0,forecast_delta_kwh,386.1588587664264
