threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
0.57,0.9853278657687822,0.24301328681710213,0.38987175956593256,0.6195927772025209,26191,390,81585,101498,75.69867131828978,0.3827732412060302,12.677903693528695,51.4041514041514,209664
0.58,0.9858762453716075,0.23963591152019004,0.385555298455659,0.6180022365389894,25827,370,81949,101518,76.036408847981,0.3631438442211055,12.49475351037851,51.4041514041514,209664
0.59,0.986128332300062,0.23613791567695963,0.38103365672535633,0.6163121268083291,25450,358,82326,101530,76.38620843230403,0.3513662060301508,12.30921855921856,51.4041514041514,209664
0.6,0.9862210149206724,0.23243579275534443,0.37620610165418955,0.6145003241414912,25051,350,82725,101538,76.75642072446556,0.3435144472361809,12.115098443223443,51.4041514041514,209664
0.61,0.9863178108497359,0.2287522268408551,0.3713734823607387,0.6126977999782165,24654,342,83122,101546,77.1247773159145,0.33566268844221103,11.921932234432235,51.4041514041514,209664
0.62,0.9866834989411957,0.2248088628266033,0.3661850497234229,0.6107997282097841,24229,327,83547,101561,77.51911371733968,0.3209406407035176,11.712072649572649,51.4041514041514,209664
0.63,0.98703665355146,0.22112529691211402,0.3613071459434055,0.6090266481419866,23832,313,83944,101575,77.8874703087886,0.30720006281407036,11.516044719169718,51.4041514041514,209664
0.64,0.987149778807668,0.21739533847980996,0.3563200036498848,0.6072009277198045,23430,305,84346,101583,78.260466152019,0.29934830402010054,11.320493742368743,51.4041514041514,209664
0.65,0.9872999528038786,0.21350764548693588,0.35109053042728655,0.6053012473665835,23011,296,84765,101592,78.64923545130641,0.2905150753768844,11.1163576007326,51.4041514041514,209664
0.66,0.9874208342432845,0.20975913004750593,0.346014035248831,0.6034662484408384,22607,288,85169,101600,79.0240869952494,0.2826633165829146,10.919852716727716,51.4041514041514,209664
0.67,0.987691624083537,0.20624257719714964,0.34123164544331097,0.6017619528573688,22228,277,85548,101611,79.37574228028504,0.271867148241206,10.73384081196581,51.4041514041514,209664
0.68,0.9877794876437042,0.20249406175771972,0.3360899360899361,0.5999220465823775,21824,270,85952,101618,79.75059382422803,0.2649968592964824,10.537812881562882,51.4041514041514,209664
0.69,0.9878290535245032,0.1988104958432304,0.3310032672418454,0.5981097077206101,21427,264,86349,101624,80.11895041567696,0.25910804020100503,10.34560057997558,51.4041514041514,209664
0.7,0.9882247656728369,0.19467228325415678,0.3252691714403094,0.5961093043155206,20981,250,86795,101638,80.53277167458432,0.24536746231155782,10.126201923076923,51.4041514041514,209664
0.71,0.9883380525027595,0.19108150237529692,0.32024756439862223,0.5943482653208143,20594,243,87182,101645,80.89184976247031,0.23849717336683418,9.938282203907203,51.4041514041514,209664
0.72,0.9886681383370125,0.18699896080760095,0.31451065456730204,0.5923658827279211,20154,231,87622,101657,81.3001039192399,0.2267195351758794,9.722699175824175,51.4041514041514,209664
0.73,0.9889993972272453,0.18268445665083136,0.30840199241878385,0.5902675188404911,19689,219,88087,101669,81.73155433491686,0.2149418969849246,9.495192307692307,51.4041514041514,209664
0.74,0.9892749012161954,0.1788709916864608,0.3029631550411353,0.5884098598507681,19278,209,88498,101679,82.11290083135393,0.2051271984924623,9.294394841269842,51.4041514041514,209664
