threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
0.54,0.6101882370175054,0.44191770503455924,0.5125966398705418,0.7095424811219386,83309,53221,105208,2277686,55.80822949654408,2.2832742790681912,5.419095793324188,7.4825436290199665,2519424
0.55,0.6138664721122064,0.43739821872828444,0.5108211162770528,0.7075731828471254,82457,51867,106060,2279040,56.26017812717156,2.2251853034033533,5.331536097139663,7.4825436290199665,2519424
0.56,0.617755707624296,0.4328946461061867,0.5090621013595491,0.7056154880635378,81608,50496,106909,2280411,56.710535389381334,2.1663669979111138,5.2434207183864245,7.4825436290199665,2519424
0.57,0.6212087396199697,0.428173586467003,0.5069366376305526,0.7035288859467672,80718,49219,107799,2281688,57.1826413532997,2.111581457346861,5.15740899507189,7.4825436290199665,2519424
0.58,0.6247253219890989,0.42377080051135974,0.5049906129699047,0.7015913387594468,79888,47989,108629,2282918,57.62291994886402,2.0588122992466023,5.075644274246812,7.4825436290199665,2519424
0.59,0.6286411820372328,0.41933088262597007,0.5030833752299008,0.6996483106423921,79051,46698,109466,2284209,58.06691173740299,2.003426134118607,4.991180523802266,7.4825436290199665,2519424
0.6,0.632157325721494,0.4146946959690638,0.5008392486482331,0.6975893439114393,78177,45490,110340,2285417,58.530530403093614,1.9516008146185155,4.908542587512066,7.4825436290199665,2519424
0.61,0.6358064808035604,0.4099789408912724,0.49851004269920923,0.6954929525665445,77288,44271,111229,2286636,59.00210591087276,1.8993035758183403,4.82487266930854,7.4825436290199665,2519424
0.62,0.6394772533194917,0.40517831283120354,0.49605309728766117,0.6933517651340105,76383,43063,112134,2287844,59.48216871687965,1.8474782563182486,4.741004293044759,7.4825436290199665,2519424
0.63,0.6432393742118,0.4004307303850581,0.4935904770934342,0.6912343118943923,75488,41868,113029,2289039,59.95692696149418,1.7962106596273466,4.658048823858152,7.4825436290199665,2519424
0.64,0.64732786003159,0.3956619296933433,0.491132305929684,0.689113971847809,74589,40637,113928,2290270,60.43380703066566,1.743398599772535,4.573505690189504,7.4825436290199665,2519424
0.65,0.6511321422253671,0.3905058960199876,0.4882136237179891,0.6867920784858129,73617,39443,114900,2291464,60.949410398001234,1.6921739048361861,4.48753365848702,7.4825436290199665,2519424
0.66,0.655189521730502,0.38528620760992377,0.48523089770354905,0.6844435059660091,72633,38225,115884,2292682,61.47137923900762,1.639919567790564,4.400132728750698,7.4825436290199665,2519424
0.67,0.6591554473188439,0.38047497042707024,0.48246404692397726,0.6822815693404436,71726,37089,116791,2293818,61.95250295729298,1.5911831746182923,4.3190427653304875,7.4825436290199665,2519424
0.68,0.6631016544031495,0.3752605865783988,0.4792853706953205,0.6799204189784698,70743,35942,117774,2294965,62.473941342160124,1.5419748621459373,4.23449963166184,7.4825436290199665,2519424
0.69,0.6668100975329891,0.36991358869491875,0.4758492922138405,0.6774822361604532,69735,34845,118782,2296062,63.008641130508124,1.4949116374012348,4.150948788294468,7.4825436290199665,2519424
0.7,0.6713055715723738,0.36437032203992215,0.47235593453445196,0.6749705874655465,68690,33633,119827,2297274,63.56296779600778,1.442914710882931,4.061364819895341,7.4825436290199665,2519424
0.71,0.6755064750931076,0.35887479643745657,0.46872899851040983,0.6724660776126294,67654,32499,120863,2298408,64.11252035625435,1.3942641212197655,3.975234021744653,7.4825436290199665,2519424
0.72,0.6797012122943794,0.3533262252210676,0.46495621490124356,0.6699301112509772,66608,31388,121909,2299519,64.66737747789324,1.3466002719113204,3.8896192145506276,7.4825436290199665,2519424
