fold,horizon,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc,model_key,model,family,predicted_positive_rate_pct,brier_score
fold_2023,24,0.8994307400379506,0.1646690984887962,0.2783732197915137,0.5811986483463935,52416,10.983287545787546,0.6042618630092769,0.8904074812588413,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,1,0.8994252873563219,0.5942097769340294,0.7156330380108602,0.795717458581775,52560,4.00875190258752,0.867893512933726,0.9928529911032624,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,2,0.8796829971181557,0.5794969150450878,0.6987124463519313,0.7880934518737223,52560,4.00875190258752,0.8443381548758028,0.991210125113176,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,3,0.8728549141965679,0.5310868533459896,0.6603717910888167,0.7639280618780371,52560,4.00875190258752,0.8335650195217305,0.9902848724020272,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,4,0.854344122657581,0.4760322733744661,0.6113989637305699,0.7363214901845474,52560,4.00875190258752,0.8059938524289304,0.9889687330272308,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,5,0.8411297440423654,0.4523018509729473,0.5882716049382716,0.724367087062594,52560,4.00875190258752,0.7787708087891331,0.9872253303438197,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,6,0.8270893371757925,0.4086378737541528,0.5470139771283354,0.7025350984531968,52560,4.00875190258752,0.7474889130291055,0.984346020592116,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,7,0.7859154929577464,0.3972472710014238,0.5277427490542245,0.6963641068304643,52560,4.00875190258752,0.716756712924947,0.9824995272306092,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,8,0.7757281553398059,0.3792121499762695,0.5094038890659867,0.6873168156774893,52560,4.00875190258752,0.6969790308999506,0.9809443386440444,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,9,0.761954261954262,0.3478879924062648,0.4776800260671228,0.6716745573194188,52560,4.00875190258752,0.656546740886358,0.9779966733478218,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,10,0.7336108220603538,0.3345989558614143,0.4595827900912647,0.6647624632834117,52560,4.00875190258752,0.6354273529515412,0.97726059424161,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,11,0.7072916666666667,0.3222591362126246,0.442777958917509,0.6583447981223669,52560,4.00875190258752,0.6152294415971702,0.9757552342271664,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,12,0.7125867195242814,0.3412434741338396,0.4614890885750963,0.6677477751617804,52560,4.00875190258752,0.616287224794742,0.975655821663418,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,13,0.7035984848484849,0.3526340768865685,0.4698071451153968,0.6732151416284269,52560,4.00875190258752,0.6110042713221983,0.9743647000510448,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,14,0.6952469711090401,0.3540579022306597,0.4691823899371069,0.6737883113119485,52560,4.00875190258752,0.6013651892748506,0.9741796655006166,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,15,0.7158098933074685,0.3502610346464167,0.4703632887189292,0.6722268247776709,52560,4.00875190258752,0.6151797179406596,0.975023270658108,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,16,0.7065637065637066,0.3474133839582344,0.4657970092268533,0.6706939870854538,52560,4.00875190258752,0.6130645102734937,0.975356784382098,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,17,0.7131857555341675,0.3515180265654649,0.4709246901811248,0.6728057111341555,52560,4.010654490106545,0.6298503381029622,0.9758589466968134,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,18,0.7122171945701358,0.3733396584440228,0.4898848428260193,0.6835183188755435,52560,4.010654490106545,0.6283301572662409,0.9757151987400128,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,19,0.6886446886446886,0.3567362428842505,0.47,0.6749985820779771,52560,4.010654490106545,0.6196918190028693,0.9764261719219548,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,20,0.6828621908127208,0.3666982922201138,0.4771604938271604,0.6797913089579123,52560,4.010654490106545,0.6012222601870764,0.9758575268942572,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,21,0.688588007736944,0.3377609108159393,0.4532145130490134,0.6656893034219236,52560,4.010654490106545,0.6043930614097617,0.9754238195253804,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,22,0.6782945736434108,0.3320683111954459,0.445859872611465,0.6627438995127313,52560,4.010654490106545,0.5959988327999824,0.9754412050546928,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,23,0.6860346585117227,0.3192599620493359,0.4357397215927485,0.6565775747771455,52560,4.010654490106545,0.6036791098169524,0.9758276828325824,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,24,0.691089108910891,0.3311195445920303,0.4477228992944195,0.6624677244089145,52560,4.010654490106545,0.6046693060219336,0.9757214703181908,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,1,0.8305183459522423,0.2483022810377851,0.3823056300268097,0.6210337064563725,52416,10.956578144078144,0.6961145976154262,0.942514918285194,random_forest,Random Forest Classifier,Bagging,3.2757173382173383,0.065540743030184
fold_2023,2,0.8278688524590164,0.2462127807765975,0.3795463696148168,0.6199568178302888,52416,10.956578144078144,0.6996570372093084,0.9464321716632976,random_forest,Random Forest Classifier,Bagging,3.258547008547009,0.0648244324964104
fold_2023,3,0.8078335373317014,0.2298450287306286,0.3578690524603497,0.611558685170705,52416,10.956578144078144,0.6997278727216063,0.9493253432334052,random_forest,Random Forest Classifier,Bagging,3.1173687423687424,0.0652354557754222
fold_2023,4,0.8062261753494282,0.2209646526205815,0.3468634686346863,0.6072149126021512,52416,10.956578144078144,0.693845563143804,0.9461640468119,random_forest,Random Forest Classifier,Bagging,3.002899877899878,0.0653703211312459
fold_2023,5,0.8109605911330049,0.2293226536653317,0.3575403827881091,0.6113724874608664,52416,10.956578144078144,0.701995630943637,0.951634582459722,random_forest,Random Forest Classifier,Bagging,3.0982905982905984,0.0638841417807918
