task,horizon,feature,feature_family,importance,importance_pct
xgb,11,target_weekday_sin,calendar_time,0.006824828218668699,0.6824827194213867
xgb,11,target_lag_168h,demand_history,0.006553452927619219,0.6553452014923096
xgb,11,target_lag_48h,demand_history,0.006393349729478359,0.6393348574638367
xgb,11,origin__Rel Hum (%),weather,0.006026111543178558,0.6026110649108887
xgb,12,fsa,spatial,0.19257164001464844,19.257164001464844
xgb,12,target_season,calendar_time,0.17172901332378387,17.172901153564453
xgb,12,target_hour,calendar_time,0.164891317486763,16.489131927490234
xgb,12,target_hour_sin,calendar_time,0.12027573585510254,12.027573585510254
xgb,12,target_lag_24h,demand_history,0.05366078391671181,5.3660783767700195
xgb,12,target_month_cos,calendar_time,0.04646936058998108,4.646935939788818
xgb,12,origin__Temp (°C),weather,0.04111159220337868,4.111159324645996
xgb,12,target_is_weekend,calendar_time,0.031579285860061646,3.157928466796875
xgb,12,target_hour_cos,calendar_time,0.02181222103536129,2.1812222003936768
xgb,12,target_month_sin,calendar_time,0.021774256601929665,2.1774256229400635
xgb,12,target_weekday_cos,calendar_time,0.016667980700731277,1.6667981147766113
xgb,12,target_month,calendar_time,0.016176410019397736,1.6176409721374512
xgb,12,origin__reported_premise_count,context,0.01599428802728653,1.5994287729263306
xgb,12,origin_rolling_std_24h,demand_history,0.014544612728059292,1.4544612169265747
xgb,12,target_weekday,calendar_time,0.012809944339096546,1.2809944152832031
xgb,12,origin_rolling_mean_168h,demand_history,0.011965285986661911,1.1965285539627075
xgb,12,origin_rolling_mean_24h,demand_history,0.010834609158337116,1.0834609270095825
xgb,12,origin__Stn Press (kPa),weather,0.007881678640842438,0.7881678342819214
xgb,12,target_lag_48h,demand_history,0.007207744289189577,0.7207744121551514
xgb,12,target_weekday_sin,calendar_time,0.007106977514922619,0.7106977701187134
xgb,12,target_lag_168h,demand_history,0.006726881489157677,0.6726881265640259
xgb,12,origin__Rel Hum (%),weather,0.0062083350494503975,0.6208335161209106
xgb,13,fsa,spatial,0.2066422700881958,20.664226531982422
xgb,13,target_season,calendar_time,0.1658797562122345,16.587976455688477
xgb,13,target_hour,calendar_time,0.15065257251262665,15.06525707244873
xgb,13,target_hour_sin,calendar_time,0.14275626838207245,14.275627136230469
xgb,13,target_lag_24h,demand_history,0.050199948251247406,5.019994735717773
xgb,13,target_month_cos,calendar_time,0.04543789103627205,4.543788909912109
xgb,13,origin__Temp (°C),weather,0.03896002843976021,3.896002769470215
xgb,13,target_hour_cos,calendar_time,0.026653455570340157,2.6653456687927246
xgb,13,target_month_sin,calendar_time,0.02245401218533516,2.24540114402771
xgb,13,target_is_weekend,calendar_time,0.022095883265137672,2.2095882892608643
xgb,13,target_weekday_cos,calendar_time,0.015332447364926338,1.5332447290420532
xgb,13,origin__reported_premise_count,context,0.015165063552558422,1.516506314277649
xgb,13,target_month,calendar_time,0.015060752630233765,1.5060752630233765
xgb,13,origin_rolling_std_24h,demand_history,0.01412916462868452,1.4129164218902588
xgb,13,target_weekday,calendar_time,0.012420754879713058,1.2420754432678223
xgb,13,origin_rolling_mean_168h,demand_history,0.011818354949355125,1.1818355321884155
xgb,13,origin_rolling_mean_24h,demand_history,0.009877286851406097,0.9877287149429321
xgb,13,origin__Stn Press (kPa),weather,0.008055049926042557,0.8055049777030945
xgb,13,target_weekday_sin,calendar_time,0.007221804466098547,0.7221804261207581
xgb,13,target_lag_168h,demand_history,0.006928447633981705,0.6928447484970093
xgb,13,target_lag_48h,demand_history,0.006434971932321787,0.6434971690177917
xgb,13,origin__Rel Hum (%),weather,0.005823761224746704,0.5823761224746704
xgb,14,fsa,spatial,0.20838770270347595,20.838773727416992
xgb,14,target_hour,calendar_time,0.16674642264842987,16.674644470214844
xgb,14,target_season,calendar_time,0.16341009736061096,16.34101104736328
xgb,14,target_hour_sin,calendar_time,0.12536904215812683,12.536905288696289
xgb,14,target_lag_24h,demand_history,0.053893666714429855,5.389367580413818
xgb,14,target_month_cos,calendar_time,0.04747271537780762,4.747272491455078
xgb,14,origin__Temp (°C),weather,0.04040199890732765,4.040200233459473
xgb,14,target_is_weekend,calendar_time,0.02491386979818344,2.491387367248535
xgb,14,target_month_sin,calendar_time,0.02220194786787033,2.2201950550079346
xgb,14,target_hour_cos,calendar_time,0.018770985305309296,1.8770986795425415
xgb,14,origin__reported_premise_count,context,0.015557575039565563,1.5557576417922974
xgb,14,target_weekday_cos,calendar_time,0.014713305048644543,1.4713306427001953
xgb,14,origin_rolling_mean_168h,demand_history,0.013744927011430264,1.374492883682251
xgb,14,target_month,calendar_time,0.013581333681941032,1.3581335544586182
xgb,14,origin_rolling_std_24h,demand_history,0.013306177221238613,1.330617904663086
xgb,14,target_weekday,calendar_time,0.0132813835516572,1.3281385898590088
xgb,14,origin_rolling_mean_24h,demand_history,0.00911285262554884,0.9112853407859802
xgb,14,origin__Stn Press (kPa),weather,0.00806471612304449,0.8064717054367065
xgb,14,target_weekday_sin,calendar_time,0.006975740194320679,0.6975741386413574
xgb,14,target_lag_48h,demand_history,0.006864077877253294,0.6864078640937805
xgb,14,target_lag_168h,demand_history,0.006822530645877123,0.6822531819343567
xgb,14,origin__Rel Hum (%),weather,0.0064068627543747425,0.6406863927841187
xgb,15,fsa,spatial,0.2144995927810669,21.4499568939209
xgb,15,target_hour,calendar_time,0.16149626672267914,16.149625778198242
xgb,15,target_season,calendar_time,0.15810129046440125,15.810127258300781
xgb,15,target_hour_sin,calendar_time,0.12428156286478043,12.428154945373535
xgb,15,target_lag_24h,demand_history,0.054458849132061005,5.4458842277526855
xgb,15,target_month_cos,calendar_time,0.051471125334501266,5.147111892700195
xgb,15,origin__Temp (°C),weather,0.04093092679977417,4.093092441558838
xgb,15,target_hour_cos,calendar_time,0.022129956632852554,2.2129955291748047
xgb,15,target_month_sin,calendar_time,0.021704595535993576,2.170459270477295
xgb,15,target_is_weekend,calendar_time,0.02124294824898243,2.1242947578430176
xgb,15,origin__reported_premise_count,context,0.015392745845019817,1.5392744541168213
xgb,15,target_weekday_cos,calendar_time,0.015011499635875225,1.5011497735977173
xgb,15,target_month,calendar_time,0.014848045073449612,1.4848042726516724
xgb,15,origin_rolling_mean_168h,demand_history,0.01312965527176857,1.3129653930664062
xgb,15,origin_rolling_std_24h,demand_history,0.012883623130619526,1.2883621454238892
xgb,15,target_weekday,calendar_time,0.012595398351550102,1.2595396041870117
xgb,15,origin__Stn Press (kPa),weather,0.00877163466066122,0.8771633505821228
xgb,15,origin_rolling_mean_24h,demand_history,0.008265206590294838,0.826520562171936
xgb,15,target_weekday_sin,calendar_time,0.0075324843637645245,0.7532483339309692
xgb,15,origin__Rel Hum (%),weather,0.007425845600664616,0.7425844669342041
xgb,15,target_lag_48h,demand_history,0.0072629982605576515,0.7262997627258301
xgb,15,target_lag_168h,demand_history,0.006563842296600342,0.6563841104507446
xgb,16,fsa,spatial,0.23448428511619568,23.448429107666016
xgb,16,target_hour,calendar_time,0.16987253725528717,16.987253189086914
xgb,16,target_season,calendar_time,0.1524994671344757,15.249946594238281
xgb,16,target_hour_sin,calendar_time,0.11727730184793472,11.727729797363281
xgb,16,target_lag_24h,demand_history,0.05110782012343407,5.110782146453857
xgb,16,target_month_cos,calendar_time,0.04489729925990105,4.489729881286621
xgb,16,origin__Temp (°C),weather,0.041466038674116135,4.146604061126709
xgb,16,target_month_sin,calendar_time,0.02380484528839588,2.3804845809936523
xgb,16,target_is_weekend,calendar_time,0.021841926500201225,2.184192657470703
xgb,16,target_hour_cos,calendar_time,0.016180450096726418,1.6180449724197388
xgb,16,target_weekday_cos,calendar_time,0.015422499738633633,1.5422499179840088
xgb,16,origin__reported_premise_count,context,0.015232481062412262,1.5232480764389038
xgb,16,target_month,calendar_time,0.014313655905425549,1.4313656091690063
xgb,16,origin_rolling_mean_168h,demand_history,0.013187962584197521,1.3187962770462036
xgb,16,target_weekday,calendar_time,0.012951665557920933,1.2951666116714478
xgb,16,origin_rolling_std_24h,demand_history,0.012332888320088387,1.2332888841629028
xgb,16,origin__Stn Press (kPa),weather,0.008148732595145702,0.8148732781410217
xgb,16,origin__Rel Hum (%),weather,0.007600174751132727,0.760017454624176
xgb,16,origin_rolling_mean_24h,demand_history,0.0073364111594855785,0.7336410880088806
xgb,16,target_weekday_sin,calendar_time,0.007053615525364876,0.705361545085907
xgb,16,target_lag_168h,demand_history,0.006585361901670694,0.6585361957550049
xgb,16,target_lag_48h,demand_history,0.00640263594686985,0.6402636170387268
xgb,17,fsa,spatial,0.2143738865852356,21.437393188476562
xgb,17,target_season,calendar_time,0.16905882954597473,16.905885696411133
xgb,17,target_hour,calendar_time,0.14600656926631927,14.60066032409668
xgb,17,target_hour_sin,calendar_time,0.14042864739894867,14.042867660522461
xgb,17,target_lag_24h,demand_history,0.05257456377148628,5.257457733154297
xgb,17,target_month_cos,calendar_time,0.045738134533166885,4.573814392089844
xgb,17,origin__Temp (°C),weather,0.039619091898202896,3.9619100093841553
xgb,17,target_is_weekend,calendar_time,0.026554392650723457,2.655439853668213
xgb,17,target_month_sin,calendar_time,0.02276282198727131,2.276282548904419
xgb,17,target_hour_cos,calendar_time,0.020062997937202454,2.006300210952759
xgb,17,origin__reported_premise_count,context,0.01750696450471878,1.7506967782974243
xgb,17,target_weekday_cos,calendar_time,0.013845040462911129,1.3845043182373047
xgb,17,origin_rolling_std_24h,demand_history,0.012560000643134117,1.256000280380249
xgb,17,target_weekday,calendar_time,0.012552643194794655,1.2552645206451416
xgb,17,target_month,calendar_time,0.012529822997748852,1.252982497215271
xgb,17,origin_rolling_mean_168h,demand_history,0.010855374857783318,1.0855376720428467
xgb,17,origin__Stn Press (kPa),weather,0.008008920587599277,0.8008922338485718
xgb,17,origin__Rel Hum (%),weather,0.00765575747936964,0.7655758857727051
xgb,17,target_weekday_sin,calendar_time,0.006974976975470781,0.6974978446960449
xgb,17,target_lag_48h,demand_history,0.0069298106245696545,0.6929811835289001
xgb,17,target_lag_168h,demand_history,0.006712211761623621,0.6712213158607483
xgb,17,origin_rolling_mean_24h,demand_history,0.00668843649327755,0.6688438057899475
xgb,18,fsa,spatial,0.23569530248641968,23.56952667236328
xgb,18,target_hour,calendar_time,0.16923798620700836,16.923797607421875
xgb,18,target_season,calendar_time,0.13526545464992523,13.526543617248535
xgb,18,target_hour_sin,calendar_time,0.12364045530557632,12.364044189453125
xgb,18,target_lag_24h,demand_history,0.05475015565752983,5.475014686584473
xgb,18,target_month_cos,calendar_time,0.047201793640851974,4.720178604125977
xgb,18,origin__Temp (°C),weather,0.041740186512470245,4.174018383026123
xgb,18,target_is_weekend,calendar_time,0.02474598027765751,2.474597692489624
